audio_id,video_id,segment_id,segment_file,transcript_file,start,end,duration,text,transcript_source,transcript_status,vad_status,source_url,title
yt_kPLZ0TpNNA8,kPLZ0TpNNA8,yt_kPLZ0TpNNA8__sent000001,/data/processed/segments/auto_20260616_091809/yt_kPLZ0TpNNA8/yt_kPLZ0TpNNA8__sent000001.wav,/data/processed/segments/auto_20260616_091809/yt_kPLZ0TpNNA8/yt_kPLZ0TpNNA8__sent000001.txt,0.024,12.024,12.0,Hãy subscribe cho kênh La La School Để không bỏ lỡ những video hấp dẫn,asr,ready,speech_region,https://www.youtube.com/watch?v=kPLZ0TpNNA8,Bé Quang Bình ông cụ non thông minh lém lĩnh với khả năng Tiếng Anh siêu đẳng | Mặt Trời Bé Con
yt_kPLZ0TpNNA8,kPLZ0TpNNA8,yt_kPLZ0TpNNA8__sent000002,/data/processed/segments/auto_20260616_091809/yt_kPLZ0TpNNA8/yt_kPLZ0TpNNA8__sent000002.wav,/data/processed/segments/auto_20260616_091809/yt_kPLZ0TpNNA8/yt_kPLZ0TpNNA8__sent000002.txt,12.024,24.024,12.0,Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn,asr,ready,speech_region,https://www.youtube.com/watch?v=kPLZ0TpNNA8,Bé Quang Bình ông cụ non thông minh lém lĩnh với khả năng Tiếng Anh siêu đẳng | Mặt Trời Bé Con
yt_kPLZ0TpNNA8,kPLZ0TpNNA8,yt_kPLZ0TpNNA8__sent000003,/data/processed/segments/auto_20260616_091809/yt_kPLZ0TpNNA8/yt_kPLZ0TpNNA8__sent000003.wav,/data/processed/segments/auto_20260616_091809/yt_kPLZ0TpNNA8/yt_kPLZ0TpNNA8__sent000003.txt,24.344,36.344,12.0,Xin trân trọng giới thiệu bé Quang Bình,asr,ready,speech_region,https://www.youtube.com/watch?v=kPLZ0TpNNA8,Bé Quang Bình ông cụ non thông minh lém lĩnh với khả năng Tiếng Anh siêu đẳng | Mặt Trời Bé Con
yt_kPLZ0TpNNA8,kPLZ0TpNNA8,yt_kPLZ0TpNNA8__sent000004,/data/processed/segments/auto_20260616_091809/yt_kPLZ0TpNNA8/yt_kPLZ0TpNNA8__sent000004.wav,/data/processed/segments/auto_20260616_091809/yt_kPLZ0TpNNA8/yt_kPLZ0TpNNA8__sent000004.txt,36.344,48.344,12.0,Năm nay con 5 tuổi,asr,ready,speech_region,https://www.youtube.com/watch?v=kPLZ0TpNNA8,Bé Quang Bình ông cụ non thông minh lém lĩnh với khả năng Tiếng Anh siêu đẳng | Mặt Trời Bé Con
yt_kPLZ0TpNNA8,kPLZ0TpNNA8,yt_kPLZ0TpNNA8__sent000005,/data/processed/segments/auto_20260616_091809/yt_kPLZ0TpNNA8/yt_kPLZ0TpNNA8__sent000005.wav,/data/processed/segments/auto_20260616_091809/yt_kPLZ0TpNNA8/yt_kPLZ0TpNNA8__sent000005.txt,48.344,60.344,12.0,"Không cháu, với mỗi người cháu sắp 5 tuổi rồi ạ Ồ, sắp 5 tuổi, bính thính ngay lập tức Ở nhà con cũng nói bé thế này ạ Không ạ Thế sao bây giờ nói bé",asr,ready,speech_region,https://www.youtube.com/watch?v=kPLZ0TpNNA8,Bé Quang Bình ông cụ non thông minh lém lĩnh với khả năng Tiếng Anh siêu đẳng | Mặt Trời Bé Con
yt_kPLZ0TpNNA8,kPLZ0TpNNA8,yt_kPLZ0TpNNA8__sent000006,/data/processed/segments/auto_20260616_091809/yt_kPLZ0TpNNA8/yt_kPLZ0TpNNA8__sent000006.wav,/data/processed/segments/auto_20260616_091809/yt_kPLZ0TpNNA8/yt_kPLZ0TpNNA8__sent000006.txt,60.344,72.344,12.0,Tại vì cháu bé mà,asr,ready,speech_region,https://www.youtube.com/watch?v=kPLZ0TpNNA8,Bé Quang Bình ông cụ non thông minh lém lĩnh với khả năng Tiếng Anh siêu đẳng | Mặt Trời Bé Con
yt_kPLZ0TpNNA8,kPLZ0TpNNA8,yt_kPLZ0TpNNA8__sent000007,/data/processed/segments/auto_20260616_091809/yt_kPLZ0TpNNA8/yt_kPLZ0TpNNA8__sent000007.wav,/data/processed/segments/auto_20260616_091809/yt_kPLZ0TpNNA8/yt_kPLZ0TpNNA8__sent000007.txt,72.344,77.346,5.002,Hỏi những câu rất là vớ vẩn Cháu bé thì cháu nói bé thôi Đúng không?,asr,ready,speech_region,https://www.youtube.com/watch?v=kPLZ0TpNNA8,Bé Quang Bình ông cụ non thông minh lém lĩnh với khả năng Tiếng Anh siêu đẳng | Mặt Trời Bé Con
yt_kPLZ0TpNNA8,kPLZ0TpNNA8,yt_kPLZ0TpNNA8__sent000008,/data/processed/segments/auto_20260616_091809/yt_kPLZ0TpNNA8/yt_kPLZ0TpNNA8__sent000008.wav,/data/processed/segments/auto_20260616_091809/yt_kPLZ0TpNNA8/yt_kPLZ0TpNNA8__sent000008.txt,78.392,90.392,12.0,"Cháu đang nhìn gì đấy? Có điện ạ. Có gì? Đèn. Đèn, có đèn. Có cả cái chữ Quang Bình ở trên cái màn hình kia, có cả chữ Quang Bình là tên của cháu đấy. Cháu biết không?",asr,ready,speech_region,https://www.youtube.com/watch?v=kPLZ0TpNNA8,Bé Quang Bình ông cụ non thông minh lém lĩnh với khả năng Tiếng Anh siêu đẳng | Mặt Trời Bé Con
yt_kPLZ0TpNNA8,kPLZ0TpNNA8,yt_kPLZ0TpNNA8__sent000009,/data/processed/segments/auto_20260616_091809/yt_kPLZ0TpNNA8/yt_kPLZ0TpNNA8__sent000009.wav,/data/processed/segments/auto_20260616_091809/yt_kPLZ0TpNNA8/yt_kPLZ0TpNNA8__sent000009.txt,90.904,102.904,12.0,"Cháu chưa biết đọc đúng không? Hoàng Hoàng, Người Hoàng Bờ, Ít Bi, Nhờ Bênh, Người Bình À à à Đang chậm ngay Cháu biết tiếng Anh rồi ạ",asr,ready,speech_region,https://www.youtube.com/watch?v=kPLZ0TpNNA8,Bé Quang Bình ông cụ non thông minh lém lĩnh với khả năng Tiếng Anh siêu đẳng | Mặt Trời Bé Con
yt_kPLZ0TpNNA8,kPLZ0TpNNA8,yt_kPLZ0TpNNA8__sent000010,/data/processed/segments/auto_20260616_091809/yt_kPLZ0TpNNA8/yt_kPLZ0TpNNA8__sent000010.wav,/data/processed/segments/auto_20260616_091809/yt_kPLZ0TpNNA8/yt_kPLZ0TpNNA8__sent000010.txt,102.904,114.904,12.0,Cháu biết tiếng anh rồi. Thế bây giờ ví dụ như là cháu chào khán giả dưới này bằng tiếng anh thì như thế nào? Hello everybody! Tôi yêu...,asr,ready,speech_region,https://www.youtube.com/watch?v=kPLZ0TpNNA8,Bé Quang Bình ông cụ non thông minh lém lĩnh với khả năng Tiếng Anh siêu đẳng | Mặt Trời Bé Con
